role_code,permission_code,data_scope
SUPER_ADMIN,identity.user.read,SYSTEM
SUPER_ADMIN,identity.user.create,SYSTEM
SUPER_ADMIN,identity.user.update,SYSTEM
SUPER_ADMIN,identity.user.lock,SYSTEM
SUPER_ADMIN,identity.user.unlock,SYSTEM
SUPER_ADMIN,identity.role.read,SYSTEM
SUPER_ADMIN,identity.role.create,SYSTEM
SUPER_ADMIN,identity.role.update,SYSTEM
SUPER_ADMIN,identity.role.delete,SYSTEM
SUPER_ADMIN,identity.permission.read,SYSTEM
SUPER_ADMIN,identity.permission.assign,SYSTEM
SUPER_ADMIN,identity.session.read,SYSTEM
SUPER_ADMIN,identity.session.revoke,SYSTEM
SUPER_ADMIN,organization.profile.read,SYSTEM
SUPER_ADMIN,organization.profile.update,SYSTEM
SUPER_ADMIN,organization.branch.read,SYSTEM
SUPER_ADMIN,organization.branch.create,SYSTEM
SUPER_ADMIN,organization.branch.update,SYSTEM
SUPER_ADMIN,organization.branch.lock,SYSTEM
SUPER_ADMIN,organization.employee.read,SYSTEM
SUPER_ADMIN,organization.employee.create,SYSTEM
SUPER_ADMIN,organization.employee.update,SYSTEM
SUPER_ADMIN,organization.employee.assign-branch,SYSTEM
SUPER_ADMIN,customer.profile.read,SYSTEM
SUPER_ADMIN,customer.profile.create,SYSTEM
SUPER_ADMIN,customer.profile.update,SYSTEM
SUPER_ADMIN,customer.group.read,SYSTEM
SUPER_ADMIN,customer.group.manage,SYSTEM
SUPER_ADMIN,customer.history.read,SYSTEM
SUPER_ADMIN,customer.restriction.read,SYSTEM
SUPER_ADMIN,customer.restriction.manage,SYSTEM
SUPER_ADMIN,inventory.catalog.read,SYSTEM
SUPER_ADMIN,inventory.catalog.manage,SYSTEM
SUPER_ADMIN,inventory.brand.read,SYSTEM
SUPER_ADMIN,inventory.brand.manage,SYSTEM
SUPER_ADMIN,inventory.model.read,SYSTEM
SUPER_ADMIN,inventory.model.manage,SYSTEM
SUPER_ADMIN,inventory.equipment.read,SYSTEM
SUPER_ADMIN,inventory.equipment.create,SYSTEM
SUPER_ADMIN,inventory.equipment.update,SYSTEM
SUPER_ADMIN,inventory.equipment.change-status,SYSTEM
SUPER_ADMIN,inventory.equipment.image.manage,SYSTEM
SUPER_ADMIN,inventory.equipment.accessory.manage,SYSTEM
SUPER_ADMIN,inventory.qr.generate,SYSTEM
SUPER_ADMIN,inventory.qr.print,SYSTEM
SUPER_ADMIN,inventory.warehouse.read,SYSTEM
SUPER_ADMIN,inventory.warehouse.manage,SYSTEM
SUPER_ADMIN,inventory.stock.in,SYSTEM
SUPER_ADMIN,inventory.stock.out,SYSTEM
SUPER_ADMIN,inventory.stock.transfer,SYSTEM
SUPER_ADMIN,inventory.stock.audit,SYSTEM
SUPER_ADMIN,inventory.availability.read,SYSTEM
SUPER_ADMIN,inventory.reservation.create,SYSTEM
SUPER_ADMIN,inventory.reservation.confirm,SYSTEM
SUPER_ADMIN,inventory.reservation.release,SYSTEM
SUPER_ADMIN,rental.pricing.read,SYSTEM
SUPER_ADMIN,rental.pricing.manage,SYSTEM
SUPER_ADMIN,rental.deposit-policy.read,SYSTEM
SUPER_ADMIN,rental.deposit-policy.manage,SYSTEM
SUPER_ADMIN,rental.late-fee-policy.read,SYSTEM
SUPER_ADMIN,rental.late-fee-policy.manage,SYSTEM
SUPER_ADMIN,rental.discount.read,SYSTEM
SUPER_ADMIN,rental.discount.manage,SYSTEM
SUPER_ADMIN,rental.request.create,SYSTEM
SUPER_ADMIN,rental.request.read,SYSTEM
SUPER_ADMIN,rental.request.update,SYSTEM
SUPER_ADMIN,rental.request.cancel,SYSTEM
SUPER_ADMIN,rental.quotation.create,SYSTEM
SUPER_ADMIN,rental.quotation.read,SYSTEM
SUPER_ADMIN,rental.quotation.update,SYSTEM
SUPER_ADMIN,rental.quotation.send,SYSTEM
SUPER_ADMIN,rental.quotation.approve,SYSTEM
SUPER_ADMIN,rental.quotation.reject,SYSTEM
SUPER_ADMIN,rental.quotation.accept,SYSTEM
SUPER_ADMIN,rental.order.create,SYSTEM
SUPER_ADMIN,rental.order.read,SYSTEM
